"Reaction","Category"
"and absolute lymphocytes","Additional Clinical Trial Data"
"36%","Additional Clinical Trial Data"
"Discontinuation of study treatment due to adverse reactions occurred in 15 patients","Additional Clinical Trial Data"
"22%","Additional Clinical Trial Data"
"The most frequent adverse reactions leading to discontinuation were hyperbilirubinemia","Additional Clinical Trial Data"
"and rash","Additional Clinical Trial Data"
"6%","Additional Clinical Trial Data"
"Increase in QTcF greater than 30 msec from baseline was observed in 19 patients","Additional Clinical Trial Data"
"28%","Additional Clinical Trial Data"
"No patient had an absolute QTcF of greater than 500 msec or QTcF increase of greater than 60 msec from baseline","Additional Clinical Trial Data"
"Growth Retardation in Pediatric Population In a multicenter","Additional Clinical Trial Data"
"open-label","Additional Clinical Trial Data"
"single-arm study of 58 pediatric patients with newly diagnosed or resistant Ph+ CML-CP treated with Tasigna","Additional Clinical Trial Data"
"with a median exposure of 56","Additional Clinical Trial Data"
"7 months","Additional Clinical Trial Data"
"adverse reactions associated with growth and deceleration of growth in regard to height were reported in 3 patients","Additional Clinical Trial Data"
"5%","Additional Clinical Trial Data"
"The adverse reactions Reference ID","Additional Clinical Trial Data"
"gov/drugsatfda include growth retardation in 2 adolescent patients and growth hormone deficiency with short stature in the remaining patient","Additional Clinical Trial Data"
"age category","Additional Clinical Trial Data"
"child","Additional Clinical Trial Data"
"Of the 58 pediatric patients","Additional Clinical Trial Data"
"five","Additional Clinical Trial Data"
"crossed two main percentile lines from baseline and three","Additional Clinical Trial Data"
"crossed three main percentile lines from baseline","Additional Clinical Trial Data"
"percentile lines","Additional Clinical Trial Data"
"5th","Additional Clinical Trial Data"
"10th","Additional Clinical Trial Data"
"25th","Additional Clinical Trial Data"
"50th","Additional Clinical Trial Data"
"75th","Additional Clinical Trial Data"
"90th","Additional Clinical Trial Data"
"and 95th","Additional Clinical Trial Data"
"Close monitoring of growth in pediatric patients under Tasigna treatment is recommended","Additional Clinical Trial Data"
"see Warnings and Precautions","Additional Clinical Trial Data"
"The following clinically significant adverse reactions can occur with Tasigna and are discussed in greater detail in other sections of labeling","Bullet Point"
"Myelosuppression","Bullet Point"
"see Warnings and Precautions","Bullet Point"
"5","Bullet Point"
"1","Bullet Point"
"QT Prolongation","Bullet Point"
"see Boxed Warning","Bullet Point"
"Warnings and Precautions","Bullet Point"
"2","Bullet Point"
"Sudden Deaths","Bullet Point"
"3","Bullet Point"
"Cardiac and Arterial Vascular Occlusive Events","Bullet Point"
"4","Bullet Point"
"Pancreatitis and Elevated Serum Lipase","Bullet Point"
"Hepatotoxicity","Bullet Point"
"6","Bullet Point"
"Electrolyte Abnormalities","Bullet Point"
"7","Bullet Point"
"Hemorrhage","Bullet Point"
"9","Bullet Point"
"Fluid Retention","Bullet Point"
"13","Bullet Point"
